Variable Name                            Size     Address Range(s)
================================================================================
runtime_ptr_temp                         3        $0001, $0003, $0005
runtime_nmi_index                        1        $0007
runtime_nmi_saved_x                      1        $0008
runtime_nmi_saved_y                      1        $0009
runtime_nmi_counter                      1        $000A
runtime_nmi_ready                        1        $000B
runtime_irq_index                        1        $000C
runtime_irq_saved_x                      1        $000D
runtime_irq_saved_y                      1        $000E
runtime_mapper_detail                    1        $000F
runtime_nmi_saved_bank                   1        $0010
runtime_irq_saved_bank                   1        $0011
runtime_system                           1        $0012
scroll_x                                 1        $0017
scroll_tiles_ppuaddr                     2        $0018-$0019
scroll_attrs_ppuaddr                     2        $001A-$001B
scroll_coin_ppuaddr                      2        $001C-$001D
raw_pads                                 1        $001E
scroll_tiles                             1        $0020
scroll_attrs                             1        $003E
mt_sw                                    2        $0046-$0047
mt_se                                    2        $0048-$0049
mt_ca                                    2        $004A-$004B
current_level                            3        $004C-$004D, $073E
mt_ne                                    2        $004E-$004F
puf_triangle_pattern_ptr                 2        $0050-$0051
puf_ptr_temp                             2        $0052-$0053
puf_trackv_ptr                           2        $0054-$0055
puf_note_table_ptr                       2        $0056-$0057
puf_square1_pattern_ptr                  2        $0058-$0059
puf_square2_pattern_ptr                  2        $005A-$005B
puf_noise_pattern_ptr                    2        $005C-$005D
puf_dpcm_pattern_ptr                     2        $005E-$005F
mt_nw                                    2        $0060-$0061
palette                                  1        $0200
game_state                               1        $0219
show_key                                 1        $021A
mea_culpa_level                          1        $0230
bile_vessel_hp                           1        $0231
fps_display                              1        $0232
player_sword_w                           2        $0233, $02E7
player_sword_h                           2        $0234, $02E8
warden_health                            1        $0235
warden_x                                 2        $0236, $02FF
warden_y                                 2        $0237, $0300
warden_w                                 2        $0238, $0301
warden_h                                 2        $0239, $0302
p                                        56       $023A-$0271
frame_counter                            1        $0272
is_game_paused                           1        $0273
prie_dieu_selected_option                1        $0274
load_level_counter                       1        $0275
game_mode                                1        $0276
cheat_index                              1        $0277
level_cheat_index                        1        $0278
cheat_timer                              1        $0279
cheat_shake_timer                        1        $027A
prie_dieu_lit                            1        $027B
last_prie_dieu_level                     1        $027C
last_prie_dieu_x                         2        $027D-$027E
last_prie_dieu_y                         2        $027F-$0280
spawn_from_right                         1        $0281
spawn_from_top                           1        $0282
spawn_from_bottom                        1        $0283
dead_pilgrims                            1        $0284
dead_wheelbrokens                        1        $029E
explored_rooms                           1        $02B8
dead_crucifieds                          1        $02BC
warden_defeated                          1        $02D6
warden_arrow_dismissed                   1        $02D7
mea_culpa_upgraded                       1        $02D8
fps_ticks                                1        $02D9
fps_timer                                1        $02DA
total_bones_collected                    1        $02DB
total_tears_collected                    2        $02DC-$02DD
invincibility_text_timer                 1        $02DE
music_started                            1        $02DF
jails_num                                1        $02E0
item_keys_num                            1        $02E1
player_sword_active                      1        $02E2
player_sword_x                           2        $02E3-$02E4
player_sword_y                           2        $02E5-$02E6
player_combo_count                       1        $02E9
palette_dirty                            1        $02EA
attack_has_hit                           1        $02EB
swing_is_combo_hit                       1        $02EC
t_floor_left                             1        $02ED
t_floor_right                            1        $02EE
player_projectile_active                 1        $02EF
player_projectile_x                      2        $02F0-$02F1
player_projectile_y                      2        $02F2-$02F3
player_projectile_vx                     2        $02F4-$02F5
prayer_active                            1        $02F6
prayer_x                                 2        $02F7-$02F8
prayer_y                                 2        $02F9-$02FA
prayer_vx                                2        $02FB-$02FC
prayer_timer                             1        $02FD
warden_active                            1        $02FE
warden_hurt_timer                        1        $0303
warden_state                             1        $0304
warden_timer                             1        $0305
warden_enraged                           1        $0306
warden_spike_wave_timer                  1        $0307
warden_spike_wave_count                  1        $0308
warden_spike_wave_dir                    1        $0309
item_bones_collected_flags               1        $030A
enraged_pilgrims_num                     1        $031E
crucifieds_num                           1        $031F
item_bones_num                           1        $0320
wheelbrokens_num                         1        $0321
rng_state                                1        $0322
is_start_pressed                         1        $0324
start_counter                            1        $0325
is_select_pressed                        1        $0326
select_counter                           1        $0327
pads                                     3        $0328, $032A, $032C
puf_lock                                 1        $032E
last_hud_hp                              1        $032F
last_hud_fervour                         1        $0330
last_hud_bile                            1        $0331
last_hud_ap                              1        $0332
last_hud_tears                           2        $0333-$0334
last_hud_bones                           1        $0335
current_level_chr                        1        $0336
keys                                     1        $0337
key_y                                    1        $034D
key_x                                    1        $0363
item_bones                               5        $0379, $0389, $03B1, $03B9, $03C1
item_bone_anim_state                     5        $0381, $0391, $0399, $03A1, $03A9
warden_spike_active                      1        $03C9
warden_spike_anim                        5        $03CF, $03D5, $03DB, $03E1, $03E7
warden_spike_timer                       1        $03ED
warden_spike_y                           3        $03F3, $0606, $0612
warden_spike_x                           3        $03F9, $0600, $060C
current_level_width                      1        $03FF
destroyed                                1        $0400
oam                                      1        $0500
enraged_pilgrims                         13       $0618, $061C, $0620, $0624, $0628, $062C, $0630, $0634, $0664, $0674, $068C, $0698, $069C
wheelbrokens                             10       $0638, $0640, $0644, $0658, $065C, $0660, $0668, $067C, $0684, $0694
crucifieds                               11       $063C, $0648, $064C, $0650, $0654, $066C, $0670, $0678, $0680, $0688, $0690
enraged_pilgrim_anim_state               5        $06A0, $06A4, $06A8, $06AC, $06B0
wheelbroken_patrol_dir                   1        $06B4
crucified_patrol_dir                     1        $06B8
wheelbroken_anim_state                   5        $06BC, $06C8, $06CC, $06E4, $06F0
crucified_anim_state                     5        $06C0, $06C4, $06D0, $06D4, $06D8
crucified_patrol_center                  2        $06DC, $06E0
wheelbroken_patrol_center                2        $06E8, $06EC
warden_projectile_active                 1        $06F4
warden_projectile_anim                   5        $06F7, $06FA, $06FD, $0700, $0703
warden_projectile_ground_timer           1        $0706
warden_projectile_y                      3        $0709, $070C, $0718
warden_projectile_x                      3        $070F, $0712, $0724
warden_projectile_vx                     2        $0715, $071B
warden_projectile_vy                     2        $071E, $0721
item_keys                                4        $0727, $0729, $072B, $072D
jails                                    4        $072F, $0731, $0733, $0735
current_level_height                     1        $0737
warden_spike_wave_origin_y               3        $0738-$073A
warden_spike_wave_origin_x               3        $073B-$073D

================================================================================
Variable Bytes: 335
System Bytes:   459
Free Bytes:     1254
Total Usage:    794/2048 bytes (38.8%)
